Date,Data
Jan-05,127.9
Feb-05,137.4
Mar-05,154.3
Apr-05,162.5
May-05,158.2
Jun-05,159.5
Jul-05,176.5
Aug-05,189.9
Sep-05,214.2
Oct-05,207.6
Nov-05,164.7
Dec-05,169.9
Jan-06,179.4
Feb-06,162.2
Mar-06,188.5
Apr-06,217.7
May-06,225.2
Jun-06,230.6
Jul-06,236.2
Aug-06,228.4
Sep-06,185.7
Oct-06,169.1
Nov-06,170.5
Dec-06,172.9
Jan-07,162
Feb-07,170.2
Mar-07,199.8
Apr-07,228.7
May-07,250.9
Jun-07,239.3
Jul-07,252.7
Aug-07,216.8
Sep-07,225.6
Oct-07,223.4
Nov-07,258.4
Dec-07,235.4
Jan-08,240
Feb-08,243.7
Mar-08,272.4
Apr-08,281.3
May-08,317
Jun-08,332.6
Jul-08,343.8
Aug-08,310.1
Sep-08,316.1
Oct-08,230.3
Nov-08,154
Dec-08,114.5
Jan-09,132.1
Feb-09,138
Mar-09,135
Apr-09,151.9
May-09,175.5
Jun-09,206.8
Jul-09,188.1
Aug-09,209.6
Sep-09,198
Oct-09,194.4
Nov-09,208.5
Dec-09,203.3
Jan-10,223.4
Feb-10,205
Mar-10,225.4
Apr-10,232
May-10,230.2
Jun-10,219.7
Jul-10,220.5
Aug-10,224.5
Sep-10,219.1
Oct-10,229.6
Nov-10,232.8
Dec-10,241
Jan-11,253
Feb-11,259
Mar-11,296.2
Apr-11,321.9
May-11,343.8
Jun-11,313.3
Jul-11,313.1
Aug-11,297.6
Sep-11,305.7
Oct-11,290
Nov-11,281.7
Dec-11,272.5
Jan-12,281.8
Feb-12,296.6
Mar-12,318.2
Apr-12,327.2
May-12,312.6
Jun-12,296.8
Jul-12,288.6
Aug-12,312
Sep-12,332.1
Oct-12,318.7
Nov-12,281.5
Dec-12,271.1
Jan-13,275.1
Feb-13,301.9
Mar-13,303.8
Apr-13,297.2
May-13,305
Jun-13,302.5
Jul-13,298.4
Aug-13,304.9
Sep-13,299.4
Oct-13,285
Nov-13,269.6
Dec-13,268.8
Jan-14,271.1
Feb-14,276.9
Mar-14,290.1
Apr-14,305.6
May-14,301.3
Jun-14,306.1
Jul-14,299.7
Aug-14,295.4
Sep-14,285.3
Oct-14,257
Nov-14,231.2
Dec-14,195